="É^ÉCÉgÉãÅFéËîzïKóvêîàÍóó"

="É_ÉEÉìÉçÅ[Éhì˙éûÅF2024/02/29 17:52:18"

="ëŒè€îNåéÅFÅÉ2023îN10åéÅÑÅGíSìñçHèÍÅFÅÉëÊÇPÅÑÅGåvéZãÊï™ÅFÅÉ 6éüïœçX 2023/10/18 10:51:28ÅÑÅGéËîzãÊï™ÅFÅÉédì¸êÊéËîzÅFéwíËÇ†ÇËÅGédì¸êÊíºëóÅFéwíËÇ†ÇËÅGédì¸êÊéxããÅFéwíËÇ»ÇµÅGëºçHèÍéËîzÅFéwíËÇ»ÇµÅGéÛããéËîzÅFéwíËÇ»ÇµÅGÅÑ;êÆîıé∫å¿íËÅFÅÉ1YÅFëÊÇPçHèÍÅÑÅGïiî‘éwíËÅFÅÉÅÑÅGédì¸êÊéwíËÅFÅÉÅÑÅGédì¸êÊçHèÍãÊï™ÅFÅÉÅÑÅGç∑ï™ï\é¶éwé¶ÅFÅÉñ≥ÇµÅÑÅG"

="åüçıåèêîÅFÅÉ  530ÅÑÅG"
="IX000 èàóùÇ™ê≥èÌÇ…äÆóπÇµÇ‹ÇµÇΩÅG"

="ïiî‘",="â¡çHê}ïÑçÜ",="ê›ïœïÑçÜ",="ïiñº",="ÉXÉeÅ[É^ÉX",="î≠íçãÊï™",="êÆîıé∫",="êÆîıé∫ñº",="éËîzãÊï™",="çHíˆì‡äOêª",="çHíˆÉRÅ[Éh",="édì¸êÊñº/çHèÍñº",="î≠ëóèÍèä",="î≠ëóèÍèäñº",="éÛãããÊï™",="å„çHíˆì‡äOêª",="å„çHíˆÉRÅ[Éh",="å„çHíˆédì¸êÊñº/çHèÍñº",="éÛì¸èÍèä",="éÛì¸èÍèäñº",="î†éÌóﬁ","é˚óeêî","äÓèÄç›å…ì˙êî","äÓèÄç›å…ñáêî","ÉTÉCÉNÉãä‘äu",="ÉTÉCÉNÉãâÒêî","ÉTÉCÉNÉãèÓïÒ",="çXêV",="çXêVé“",="ç≈èIçXêVì˙éû",="É}ÉCÉiÉXïKóvêîóLñ≥","ìñåéïKóvêî",="ìñåéâ“ì≠ì˙êî","óÇåéïKóvêî",="óÇåéâ“ì≠ì˙êî","óÇÅXåéïKóvêî",="óÇÅXåéâ“ì≠ì˙êî","óÇÅXÅXåéïKóvêî",="óÇÅXÅXåéâ“ì≠ì˙êî","1(ì˙)","2(åé)","3(âŒ)","4(êÖ)","5(ñÿ)","6(ã‡)","7(ìy)","8(ì˙)","9(åé)","10(âŒ)","11(êÖ)","12(ñÿ)","13(ã‡)","14(ìy)","15(ì˙)","16(åé)","17(âŒ)","18(êÖ)","19(ñÿ)","20(ã‡)","21(ìy)","22(ì˙)","23(åé)","24(âŒ)","25(êÖ)","26(ñÿ)","27(ã‡)","28(ìy)","29(ì˙)","30(åé)","31(âŒ)","ìñåéåvéZêî","óÇåéåvéZêî","óÇÅXåéåvéZêî","óÇÅXÅXåéåvéZêî","1(ì˙)","2(åé)","3(âŒ)","4(êÖ)","5(ñÿ)","6(ã‡)","7(ìy)","8(ì˙)","9(åé)","10(âŒ)","11(êÖ)","12(ñÿ)","13(ã‡)","14(ìy)","15(ì˙)","16(åé)","17(âŒ)","18(êÖ)","19(ñÿ)","20(ã‡)","21(ìy)","22(ì˙)","23(åé)","24(âŒ)","25(êÖ)","26(ñÿ)","27(ã‡)","28(ìy)","29(ì˙)","30(åé)","31(âŒ)"
="90363-35A018",="",="","BEARING, RADIAL BALL",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="4287",="ì˙ñ{ê∏çHÅiäîÅj",="02",="éOâÕï™é∫",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="T-10  ›÷≥","       90","  0.75"," 3.0","1",="08","  9.00",="",="",="",="","          0",="26.0","        264",="26.0","        144",="24.0","        312",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","        264","        144","        312","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90363-40085",="",="","BEARING, RADIAL BALL",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="4287",="ì˙ñ{ê∏çHÅiäîÅj",="02",="éOâÕï™é∫",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="T-10 æ›÷≥","       80","  0.77"," 3.0","1",="08","  9.00",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90363-40A010",="",=" A","BEARING, RADIAL BALL",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="4287",="ì˙ñ{ê∏çHÅiäîÅj",="02",="éOâÕï™é∫",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="T-10 æ›÷≥","       80","  0.74"," 3.0","1",="08","  9.00",="",="",="",="","     37,804",="22.0","     38,340",="22.0","     33,308",="20.0","     27,394",="18.0","          0","      1,482","      1,778","      1,668","      1,778","      1,782","          0","          0","      1,484","      1,778","      1,480","      1,780","      1,780","          0","          0","      1,780","      1,784","      1,670","      1,778","      1,656","          0","          0","      1,778","      1,782","      1,666","      1,778","      1,780","          0","          0","      1,782","      1,780","     37,804","     38,340","     33,308","     27,394","          0","      1,482","      1,778","      1,668","      1,778","      1,782","          0","          0","      1,484","      1,778","      1,480","      1,780","      1,780","          0","          0","      1,780","      1,784","      1,670","      1,778","      1,656","          0","          0","      1,778","      1,782","      1,666","      1,778","      1,780","          0","          0","      1,782","      1,780"
="35561-ECA020",="",="","SHAFT, PARKING LOCK, NO.1",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="5014",="ÅiäîÅjïlñºêªçÏèä",="01",="ñ{é–çHèÍ",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  1.43"," 0.0","1",="02","  4.66",="",="",="",="","          0",="26.0","        242",="26.0","         72",="24.0","        156",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","        242","         72","        156","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="35165-ECE010",="",=" A","PLATE, TRANSMISSION CASE",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6065",="ÅiäîÅjèºîˆêªçÏèä",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      200","  0.63"," 1.0","1",="01","  1.21",="",="",="",="","     10,810",="22.0","     10,880",="22.0","      9,306",="20.0","      7,436",="18.0","          0","        433","        516","        487","        516","        516","          0","          0","        428","        510","        426","        511","        523","          0","          0","        504","        523","        482","        516","        475","          0","          0","        498","        510","        459","        504","        498","          0","          0","        488","        487","     10,810","     10,880","      9,306","      7,436","          0","        433","        516","        487","        516","        516","          0","          0","        428","        510","        426","        511","        523","          0","          0","        504","        523","        482","        516","        475","          0","          0","        498","        510","        459","        504","        498","          0","          0","        488","        487"
="35394-50A010",="",=" A","MAGNET, OIL CLEANER",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6095",="É~ÉYÉVÉáÅ[ÅiäîÅj",="01",="éOâÕéxìX",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-331  ›÷≥","    2,000","  0.75"," 3.0","1",="01","  1.88",="",="",="",="","     37,804",="22.0","     38,340",="22.0","     33,308",="20.0","     27,394",="18.0","          0","      1,482","      1,778","      1,668","      1,778","      1,782","          0","          0","      1,484","      1,778","      1,480","      1,780","      1,780","          0","          0","      1,780","      1,784","      1,670","      1,778","      1,656","          0","          0","      1,778","      1,782","      1,666","      1,778","      1,780","          0","          0","      1,782","      1,780","     37,804","     38,340","     33,308","     27,394","          0","      1,482","      1,778","      1,668","      1,778","      1,782","          0","          0","      1,484","      1,778","      1,480","      1,780","      1,780","          0","          0","      1,780","      1,784","      1,670","      1,778","      1,656","          0","          0","      1,778","      1,782","      1,666","      1,778","      1,780","          0","          0","      1,782","      1,780"
="90250-06027",="",=" A","PIN, STRAIGHT",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6103",="ÅiäîÅjêÖñÏìSçHèä",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","    2,000","  0.62"," 3.0","1",="01","  1.81",="",="",="",="","     18,902",="22.0","     19,176",="22.0","     16,726",="20.0","     13,853",="18.0","          0","        741","        889","        834","        889","        891","          0","          0","        742","        889","        740","        890","        890","          0","          0","        890","        892","        835","        889","        828","          0","          0","        889","        891","        833","        889","        890","          0","          0","        891","        890","     18,902","     19,176","     16,726","     13,853","          0","        741","        889","        834","        889","        891","          0","          0","        742","        889","        740","        890","        890","          0","          0","        890","        892","        835","        889","        828","          0","          0","        889","        891","        833","        889","        890","          0","          0","        891","        890"
="41310-ECA020",="",=" A","GEAR ASSY, DIFFERENTIAL",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6355",="ïêë†ê∏ñßçHã∆ÅiäîÅj",="01",="ñ{é–çHèÍ",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="ª›ŒﬁØ∏Ω#24-A","        2","  0.79"," 1.0","1",="01","  1.00",="",="",="",="","          0",="26.0","         44",="26.0","         73",="24.0","        158",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","         43","         72","        156","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90201-50A002",="",=" A","WASHER, PLATE",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.73"," 1.0","1",="01","  0.73",="",="",="",="","      8,092",="22.0","      8,296",="22.0","      7,420",="20.0","      6,417",="18.0","          0","        308","        373","        347","        373","        375","          0","          0","        314","        379","        314","        379","        367","          0","          0","        386","        369","        353","        373","        353","          0","          0","        391","        381","        374","        385","        392","          0","          0","        403","        403","      8,092","      8,296","      7,420","      6,417","          0","        308","        373","        347","        373","        375","          0","          0","        314","        379","        314","        379","        367","          0","          0","        386","        369","        353","        373","        353","          0","          0","        391","        381","        374","        385","        392","          0","          0","        403","        403"
="90201-56A001",="",=" A","WASHER, PLATE",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.75"," 1.0","1",="01","  0.73",="",="",="",="","      8,092",="22.0","      8,290",="22.0","      7,348",="20.0","      6,261",="18.0","          0","        308","        373","        347","        373","        375","          0","          0","        314","        379","        314","        379","        367","          0","          0","        386","        369","        353","        373","        353","          0","          0","        391","        381","        374","        385","        392","          0","          0","        403","        403","      8,092","      8,290","      7,348","      6,261","          0","        308","        373","        347","        373","        375","          0","          0","        314","        379","        314","        379","        367","          0","          0","        386","        369","        353","        373","        353","          0","          0","        391","        381","        374","        385","        392","          0","          0","        403","        403"
="90201-56A002",="",=" A","WASHER, PLATE",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.73"," 1.0","1",="01","  0.73",="",="",="",="","     10,810",="22.0","     10,880",="22.0","      9,306",="20.0","      7,436",="18.0","          0","        433","        516","        487","        516","        516","          0","          0","        428","        510","        426","        511","        523","          0","          0","        504","        523","        482","        516","        475","          0","          0","        498","        510","        459","        504","        498","          0","          0","        488","        487","     10,810","     10,880","      9,306","      7,436","          0","        433","        516","        487","        516","        516","          0","          0","        428","        510","        426","        511","        523","          0","          0","        504","        523","        482","        516","        475","          0","          0","        498","        510","        459","        504","        498","          0","          0","        488","        487"
="90564-39A001",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-39A002",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-39A003",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-39A004",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","      1,548",="22.0","      1,545",="22.0","      1,322",="20.0","      1,056",="18.0","          0","         62","         74","         70","         74","         74","          0","          0","         61","         73","         61","         73","         75","          0","          0","         72","         75","         69","         74","         68","          0","          0","         71","         73","         66","         72","         71","          0","          0","         70","         70","      1,535","      1,544","      1,321","      1,055","          0","         61","         73","         69","         73","         73","          0","          0","         60","         72","         60","         72","         74","          0","          0","         71","         74","         68","         73","         67","          0","          0","         70","         72","         65","         71","         70","          0","          0","         69","         69"
="90564-39A005",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","      6,779",="22.0","      6,811",="22.0","      5,826",="20.0","      4,655",="18.0","          0","        272","        324","        305","        324","        324","          0","          0","        268","        320","        267","        320","        328","          0","          0","        316","        328","        302","        324","        298","          0","          0","        312","        320","        288","        316","        312","          0","          0","        306","        305","      6,767","      6,810","      5,825","      4,654","          0","        271","        323","        304","        323","        323","          0","          0","        267","        319","        266","        319","        327","          0","          0","        315","        327","        301","        323","        297","          0","          0","        311","        319","        287","        315","        311","          0","          0","        305","        304"
="90564-39A006",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","      2,401",="22.0","      2,405",="22.0","      2,057",="20.0","      1,644",="18.0","          0","         96","        115","        108","        115","        115","          0","          0","         95","        113","         95","        113","        116","          0","          0","        112","        116","        107","        115","        105","          0","          0","        111","        113","        102","        112","        111","          0","          0","        108","        108","      2,389","      2,404","      2,056","      1,643","          0","         95","        114","        107","        114","        114","          0","          0","         94","        112","         94","        112","        115","          0","          0","        111","        115","        106","        114","        104","          0","          0","        110","        112","        101","        111","        110","          0","          0","        107","        107"
="90564-39A007",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","        129",="22.0","        120",="22.0","        103",="20.0","         82",="18.0","          0","          5","          6","          6","          6","          6","          0","          0","          5","          6","          5","          6","          6","          0","          0","          6","          6","          6","          6","          6","          0","          0","          6","          6","          6","          6","          6","          0","          0","          6","          6","        118","        119","        102","         81","          0","          4","          5","          5","          5","          5","          0","          0","          4","          5","          4","          5","          5","          0","          0","          5","          5","          5","          5","          5","          0","          0","          5","          5","          5","          5","          5","          0","          0","          5","          5"
="90564-39A008",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-39A009",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-46A001",="",=" A",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          6",="22.0","         72",="20.0","        156",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          6","         72","        156","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-46A002",="",=" A",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          6",="22.0","         72",="20.0","        156",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          6","         72","        156","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-46A003",="",=" A",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          6",="22.0","         72",="20.0","        156",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          6","         72","        156","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-46A004",="",=" A",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          6",="22.0","         72",="20.0","        156",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          6","         72","        156","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-46A005",="",=" A",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          6",="22.0","         72",="20.0","        156",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          6","         72","        156","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-46A006",="",=" A",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          6",="22.0","         72",="20.0","        156",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          6","         72","        156","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
