="É^ÉCÉgÉãÅFéËîzïKóvêîàÍóó"

="É_ÉEÉìÉçÅ[Éhì˙éûÅF2024/02/29 17:50:56"

="ëŒè€îNåéÅFÅÉ2023îN11åéÅÑÅGíSìñçHèÍÅFÅÉëÊÇPÅÑÅGåvéZãÊï™ÅFÅÉ 6éüïœçX 2023/11/21 18:18:54ÅÑÅGéËîzãÊï™ÅFÅÉédì¸êÊéËîzÅFéwíËÇ†ÇËÅGédì¸êÊíºëóÅFéwíËÇ†ÇËÅGédì¸êÊéxããÅFéwíËÇ»ÇµÅGëºçHèÍéËîzÅFéwíËÇ»ÇµÅGéÛããéËîzÅFéwíËÇ»ÇµÅGÅÑ;êÆîıé∫å¿íËÅFÅÉ1YÅFëÊÇPçHèÍÅÑÅGïiî‘éwíËÅFÅÉÅÑÅGédì¸êÊéwíËÅFÅÉÅÑÅGédì¸êÊçHèÍãÊï™ÅFÅÉÅÑÅGç∑ï™ï\é¶éwé¶ÅFÅÉñ≥ÇµÅÑÅG"

="åüçıåèêîÅFÅÉ  382ÅÑÅG"
="IX000 èàóùÇ™ê≥èÌÇ…äÆóπÇµÇ‹ÇµÇΩÅG"

="ïiî‘",="â¡çHê}ïÑçÜ",="ê›ïœïÑçÜ",="ïiñº",="ÉXÉeÅ[É^ÉX",="î≠íçãÊï™",="êÆîıé∫",="êÆîıé∫ñº",="éËîzãÊï™",="çHíˆì‡äOêª",="çHíˆÉRÅ[Éh",="édì¸êÊñº/çHèÍñº",="î≠ëóèÍèä",="î≠ëóèÍèäñº",="éÛãããÊï™",="å„çHíˆì‡äOêª",="å„çHíˆÉRÅ[Éh",="å„çHíˆédì¸êÊñº/çHèÍñº",="éÛì¸èÍèä",="éÛì¸èÍèäñº",="î†éÌóﬁ","é˚óeêî","äÓèÄç›å…ì˙êî","äÓèÄç›å…ñáêî","ÉTÉCÉNÉãä‘äu",="ÉTÉCÉNÉãâÒêî","ÉTÉCÉNÉãèÓïÒ",="çXêV",="çXêVé“",="ç≈èIçXêVì˙éû",="É}ÉCÉiÉXïKóvêîóLñ≥","ìñåéïKóvêî",="ìñåéâ“ì≠ì˙êî","óÇåéïKóvêî",="óÇåéâ“ì≠ì˙êî","óÇÅXåéïKóvêî",="óÇÅXåéâ“ì≠ì˙êî","óÇÅXÅXåéïKóvêî",="óÇÅXÅXåéâ“ì≠ì˙êî","1(êÖ)","2(ñÿ)","3(ã‡)","4(ìy)","5(ì˙)","6(åé)","7(âŒ)","8(êÖ)","9(ñÿ)","10(ã‡)","11(ìy)","12(ì˙)","13(åé)","14(âŒ)","15(êÖ)","16(ñÿ)","17(ã‡)","18(ìy)","19(ì˙)","20(åé)","21(âŒ)","22(êÖ)","23(ñÿ)","24(ã‡)","25(ìy)","26(ì˙)","27(åé)","28(âŒ)","29(êÖ)","30(ñÿ)",,"ìñåéåvéZêî","óÇåéåvéZêî","óÇÅXåéåvéZêî","óÇÅXÅXåéåvéZêî","1(êÖ)","2(ñÿ)","3(ã‡)","4(ìy)","5(ì˙)","6(åé)","7(âŒ)","8(êÖ)","9(ñÿ)","10(ã‡)","11(ìy)","12(ì˙)","13(åé)","14(âŒ)","15(êÖ)","16(ñÿ)","17(ã‡)","18(ìy)","19(ì˙)","20(åé)","21(âŒ)","22(êÖ)","23(ñÿ)","24(ã‡)","25(ìy)","26(ì˙)","27(åé)","28(âŒ)","29(êÖ)","30(ñÿ)",
="90564-51A111",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-51A112",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A018",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A019",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A020",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A021",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A022",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A023",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A024",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A025",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A026",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A027",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A028",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A029",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A030",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A031",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A032",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A033",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A034",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A035",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="20.0","          0",="18.0","          0",="21.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",,"          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A036",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","         22",="22.0","         15",="20.0","         13",="18.0","         16",="21.0","          1","          1","          1","          0","          0","          1","          1","          1","          1","          1","          0","          0","          1","          1","          1","          1","          1","          0","          0","          1","          1","          1","          1","          1","          0","          0","          1","          1","          1","          1",,"         16","         14","         12","         15","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0",
="90564-55A037",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","        107",="22.0","         88",="20.0","         75",="18.0","         94",="21.0","          5","          5","          5","          0","          0","          5","          5","          5","          5","          5","          0","          0","          5","          5","          5","          5","          5","          0","          0","          5","          5","          5","          6","          5","          0","          0","          4","          4","          4","          4",,"         99","         87","         74","         93","          4","          4","          4","          0","          0","          4","          4","          4","          4","          4","          0","          0","          4","          4","          4","          4","          4","          0","          0","          4","          4","          4","          5","          4","          0","          0","          3","          3","          3","          3",
="90564-55A038",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","        315",="22.0","        270",="20.0","        229",="18.0","        288",="21.0","         15","         15","         15","          0","          0","         15","         14","         14","         14","         15","          0","          0","         15","         15","         15","         15","         15","          0","          0","         15","         15","         15","         16","         16","          0","          0","         11","         11","         12","         12",,"        306","        269","        228","        287","         14","         14","         14","          0","          0","         14","         13","         13","         13","         14","          0","          0","         14","         14","         14","         14","         14","          0","          0","         14","         14","         14","         15","         15","          0","          0","         10","         10","         11","         11",
="90564-55A039",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","        695",="22.0","        606",="20.0","        514",="18.0","        645",="21.0","         32","         33","         34","          0","          0","         32","         32","         30","         32","         32","          0","          0","         34","         33","         34","         33","         32","          0","          0","         33","         34","         33","         36","         35","          0","          0","         25","         25","         26","         25",,"        686","        605","        513","        644","         31","         32","         33","          0","          0","         31","         31","         29","         31","         31","          0","          0","         33","         32","         33","         32","         31","          0","          0","         32","         33","         32","         35","         34","          0","          0","         24","         24","         25","         24",
="90564-55A040",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","      1,126",="22.0","        985",="20.0","        836",="18.0","      1,049",="21.0","         52","         54","         55","          0","          0","         52","         52","         49","         52","         52","          0","          0","         55","         54","         55","         54","         52","          0","          0","         53","         54","         53","         59","         56","          0","          0","         40","         40","         42","         41",,"      1,116","        984","        835","      1,048","         51","         53","         54","          0","          0","         51","         51","         48","         51","         51","          0","          0","         54","         53","         54","         53","         51","          0","          0","         52","         54","         52","         58","         55","          0","          0","         39","         39","         41","         40",
="90564-55A041",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","      1,042",="22.0","        912",="20.0","        774",="18.0","        971",="21.0","         48","         50","         51","          0","          0","         48","         48","         46","         48","         48","          0","          0","         51","         50","         51","         50","         48","          0","          0","         49","         50","         49","         54","         52","          0","          0","         37","         37","         39","         38",,"      1,034","        911","        773","        970","         48","         49","         50","          0","          0","         48","         47","         45","         47","         48","          0","          0","         50","         49","         50","         49","         48","          0","          0","         48","         50","         49","         53","         51","          0","          0","         36","         36","         38","         37",
="90564-55A042",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","      1,146",="22.0","      1,000",="20.0","        848",="18.0","      1,064",="21.0","         53","         55","         56","          0","          0","         53","         52","         50","         52","         53","          0","          0","         56","         55","         56","         55","         53","          0","          0","         54","         55","         54","         60","         57","          0","          0","         41","         41","         43","         42",,"      1,133","        999","        847","      1,063","         52","         54","         55","          0","          0","         52","         51","         49","         51","         52","          0","          0","         55","         54","         55","         54","         52","          0","          0","         53","         54","         53","         59","         56","          0","          0","         40","         40","         42","         41",
